,work_year,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_size,best_indication
386,2021,3,2,20000,10,20000,1,0.0
387,2022,1,2,190000,10,190000,1,1.0
388,2022,1,2,135000,10,135000,1,0.0
389,2022,1,2,179400,10,179400,1,1.0
390,2022,1,2,154000,10,154000,1,1.0
391,2022,1,2,193900,10,193900,1,1.0
392,2022,1,2,129300,10,129300,1,0.0
393,2022,4,2,222640,10,222640,1,1.0
394,2022,4,2,182160,10,182160,1,1.0
395,2022,2,2,150000,10,150000,1,1.0
396,2022,2,2,100000,10,100000,1,0.0
397,2022,1,2,122500,10,122500,1,0.0
398,2022,1,2,100000,10,100000,1,0.0
399,2022,4,2,297500,10,297500,1,1.0
400,2022,4,2,260000,10,260000,1,1.0
401,2021,3,2,15000,10,15000,2,0.0
402,2022,1,2,193000,10,193000,1,1.0
403,2022,3,2,93000,10,93000,1,0.0
404,2022,3,2,73000,10,73000,1,0.0
405,2022,2,2,100000,10,100000,1,0.0
406,2022,2,2,60000,10,60000,1,0.0
407,2022,3,2,40300,70,7828,2,0.0
408,2022,1,2,136994,10,136994,1,0.0
409,2022,1,2,101570,10,101570,1,0.0
410,2022,1,2,250000,10,250000,1,1.0
411,2022,1,2,63000,10,63000,1,0.0
412,2022,2,2,134000,10,134000,1,0.0
413,2022,2,2,98000,10,98000,1,0.0
414,2022,1,2,191475,10,191475,1,1.0
415,2022,1,2,141525,10,141525,1,0.0
416,2022,1,2,55000,20,57908,2,1.0
417,2022,2,2,136000,10,136000,1,0.0
418,2022,2,2,112000,10,112000,1,0.0
419,2022,1,2,172000,10,172000,1,1.0
420,2022,1,2,140000,10,140000,1,0.0
421,2022,1,2,215000,10,215000,1,1.0
422,2022,1,2,164000,10,164000,1,1.0
423,2022,1,2,300000,10,300000,1,1.0
424,2022,1,2,130000,10,130000,1,0.0
425,2022,1,2,250000,10,250000,1,1.0
426,2022,1,2,63000,10,63000,1,0.0
427,2022,1,2,180000,10,180000,1,1.0
428,2022,1,2,150000,10,150000,1,1.0
429,2021,3,2,33000,30,45390,2,0.0
430,2022,1,2,250000,10,250000,1,1.0
431,2022,1,2,63000,10,63000,1,0.0
432,2022,1,2,191475,10,191475,1,1.0
433,2022,1,2,141525,10,141525,1,0.0
434,2022,2,2,97500,10,97500,2,0.0
435,2022,1,2,212800,10,212800,1,1.0
436,2022,1,2,142800,10,142800,1,0.0
437,2022,2,2,70000,20,73701,2,1.0
438,2022,3,2,50000,10,50000,1,0.0
439,2022,3,2,500000,40,6413,2,0.0
440,2022,1,2,151800,10,151800,1,1.0
441,2022,1,2,130240,10,130240,1,0.0
442,2022,1,2,165000,10,165000,1,1.0
443,2022,1,2,140250,10,140250,1,0.0
444,2022,1,2,135000,10,135000,1,0.0
445,2022,1,2,115000,10,115000,1,0.0
446,2022,1,2,179400,10,179400,1,1.0
447,2022,1,2,154000,10,154000,1,1.0
448,2022,1,2,191475,10,191475,1,1.0
449,2022,1,2,141525,10,141525,1,0.0
450,2022,1,2,191475,10,191475,1,1.0
451,2022,1,2,141525,10,141525,1,0.0
452,2022,1,2,191475,10,191475,1,1.0
453,2022,1,2,141525,10,141525,1,0.0
454,2022,2,2,75000,10,75000,1,0.0
455,2022,2,2,80000,20,84229,1,1.0
456,2022,2,2,70000,20,73701,1,1.0
457,2022,2,2,80000,30,99084,1,0.0
458,2022,2,2,70000,30,86698,1,0.0
459,2022,2,2,80000,20,84229,1,1.0
460,2022,2,2,70000,20,73701,1,1.0
461,2022,1,2,191475,10,191475,1,1.0
462,2022,1,2,141525,10,141525,1,0.0
463,2022,1,2,191475,10,191475,1,1.0
464,2022,1,2,141525,10,141525,1,0.0
465,2022,1,2,83376,30,103265,1,0.0
466,2022,1,2,65004,30,80510,1,0.0
467,2022,1,2,191475,10,191475,1,1.0
468,2022,1,2,141525,10,141525,1,0.0
469,2022,1,2,84958,30,105224,1,0.0
470,2022,1,2,66822,30,82762,1,0.0
471,2022,1,2,191475,10,191475,1,1.0
472,2022,1,2,141525,10,141525,1,0.0
473,2022,1,2,191475,10,191475,1,1.0
474,2022,1,2,141525,10,141525,1,0.0
475,2022,1,2,115000,10,115000,2,0.0
476,2022,3,2,30000,20,31586,1,1.0
477,2022,1,2,81000,10,81000,1,0.0
478,2022,1,2,66000,10,66000,1,0.0
479,2022,3,2,46000,10,46000,2,0.0
480,2022,3,2,80000,10,80000,2,0.0
481,2022,4,2,200000,10,200000,0,1.0
482,2022,4,2,180000,10,180000,0,1.0
483,2022,4,2,200000,10,200000,0,1.0
484,2022,1,2,204100,10,204100,1,1.0
485,2022,1,2,136100,10,136100,1,0.0
486,2022,1,2,250000,10,250000,1,1.0
487,2022,1,2,63000,10,63000,1,0.0
488,2022,2,2,96000,30,118900,1,0.0
489,2022,2,2,90000,30,111469,1,0.0
490,2021,3,1,120000,120,19073,2,0.0
491,2022,1,2,191475,10,191475,1,1.0
492,2022,1,2,141525,10,141525,1,0.0
493,2022,1,2,191475,10,191475,1,1.0
494,2022,1,2,141525,10,141525,1,0.0
495,2022,1,2,191475,10,191475,1,1.0
496,2022,1,2,141525,10,141525,1,0.0
497,2022,1,2,95000,10,95000,1,0.0
498,2022,1,2,70000,10,70000,1,0.0
499,2022,2,2,75000,10,75000,1,0.0
500,2022,2,3,7500,10,7500,1,0.0
501,2022,2,2,113000,10,113000,2,0.0
502,2022,1,2,170000,10,170000,1,1.0
503,2022,1,2,130000,10,130000,1,0.0
504,2022,2,2,113000,10,113000,2,0.0
505,2022,2,2,140000,10,140000,1,0.0
506,2021,1,2,50000,10,50000,0,0.0
507,2022,2,2,77000,60,53767,1,0.0
508,2022,1,2,175000,10,175000,1,1.0
509,2022,1,2,140000,10,140000,1,0.0
510,2022,3,2,2324,10,2324,2,0.0
511,2022,1,2,28500,20,30006,0,1.0
512,2022,1,2,250000,10,250000,1,1.0
513,2022,1,2,63000,10,63000,1,0.0
514,2022,1,2,160000,10,160000,2,1.0
515,2022,1,2,119300,10,119300,2,0.0
516,2022,2,2,145000,10,145000,2,0.0
517,2022,1,2,105000,10,105000,1,0.0
518,2022,1,2,90000,10,90000,1,0.0
519,2022,1,2,146200,10,146200,1,0.0
520,2022,1,2,124270,10,124270,1,0.0
521,2022,2,2,225000,10,225000,1,1.0
522,2022,2,2,160000,10,160000,1,1.0
523,2022,2,2,52000,20,54749,0,1.0
524,2022,1,2,185800,10,185800,1,1.0
525,2022,1,2,137400,10,137400,1,0.0
526,2022,1,2,245000,10,245000,1,1.0
527,2022,1,2,180000,10,180000,1,1.0
528,2022,1,2,203500,10,203500,1,1.0
529,2022,1,2,152000,10,152000,1,1.0
530,2022,1,2,250000,10,250000,1,1.0
531,2022,1,2,63000,10,63000,1,0.0
532,2022,1,2,186000,10,186000,1,1.0
533,2022,1,2,148800,10,148800,1,0.0
534,2022,1,2,7500000,40,96209,2,0.0
535,2022,2,2,104000,30,128809,2,0.0
536,2022,3,2,82000,10,82000,2,0.0
537,2022,3,1,110000,10,110000,1,0.0
538,2022,2,2,173000,10,173000,1,1.0
539,2022,1,2,203500,10,203500,1,1.0
540,2022,1,2,152000,10,152000,1,1.0
541,2022,1,2,186000,10,186000,1,1.0
